Source,Target,Data
BadBoyHalo,Antfrost,{}
BadBoyHalo,Domingo,{}
BadBoyHalo,Smajor,{}
BadBoyHalo,JeelTV,{}
BadBoyHalo,AntoineDaniel,{}
BadBoyHalo,TubboLIVE,{}
BadBoyHalo,mistermv,{}
BadBoyHalo,TinaKitten,{}
BadBoyHalo,xChocoBars,{}
BadBoyHalo,RebeuDeter,{}
BadBoyHalo,tommyinnitalt,{}
BadBoyHalo,ranboobutnot,{}
BadBoyHalo,hannahxxrose,{}
BadBoyHalo,sapnapalt,{}
BadBoyHalo,Punz,{}
BadBoyHalo,cyr,{}
rkdthdus930,kanae_2434,{}
rkdthdus930,ElMariana,{}
rkdthdus930,PipePunk,{}
rkdthdus930,aroyitt,{}
rkdthdus930,AsunaWEEB,{}
snip3down,summit1g,{}
snip3down,Cellbit,{}
snip3down,michaelreeves,{}
snip3down,peterparkTV,{}
snip3down,Sommerset,{}
iam_xq,tarik,{}
iam_xq,xChocoBars,{}
iam_xq,Nephtunie,{}
iam_xq,Domingo,{}
iam_xq,Purpled,{}
iam_xq,sasatikk,{}
iam_xq,yvonnie,{}
iam_xq,Squeezie,{}
iam_xq,clutch_fii,{}
iam_xq,Tubbo,{}
iam_xq,AussieAntics,{}
iam_xq,Technoblade,{}
iam_xq,Mizkif,{}
iam_xq,Luzu,{}
iam_xq,AriaSaki,{}
iam_xq,WilburSoot,{}
iam_xq,TenZ,{}
iam_xq,Hiko,{}
iam_xq,JeelTV,{}
iam_xq,Punz,{}
iam_xq,elded,{}
iam_xq,Corpse_Husband,{}
iam_xq,Kaydop,{}
iam_xq,alanzoka,{}
iam_xq,Carreraaa,{}
RanbooLive,karlnetwork,{}
RanbooLive,WankilStudio,{}
RanbooLive,Doigby,{}
RanbooLive,Terracid,{}
RanbooLive,WARDELL,{}
RanbooLive,Locklear,{}
RanbooLive,lilypichu,{}
RanbooLive,cyr,{}
RanbooLive,DanTDM,{}
RanbooLive,sapnapalt,{}
RanbooLive,skeppy,{}
RanbooLive,tommyinnitalt,{}
RanbooLive,Fundy,{}
RanbooLive,CaptainPuffy,{}
RanbooLive,AntoineDaniel,{}
RanbooLive,sodapoppin,{}
RanbooLive,AussieAntics,{}
RanbooLive,NickEh30,{}
RanbooLive,Eret,{}
RanbooLive,JackManifoldTV,{}
RanbooLive,Bugha,{}
RanbooLive,Sapnap,{}
RanbooLive,Antfrost,{}
RanbooLive,Ponce,{}
RanbooLive,WilburSoot,{}
RanbooLive,tommyinnit,{}
RanbooLive,jschlatt,{}
RobertoCein,Rakin,{}
RobertoCein,Subroza,{}
RobertoCein,elded,{}
RobertoCein,ibai,{}
RobertoCein,HBomb94,{}
RobertoCein,Hiko,{}
RobertoCein,awesamdude,{}
RobertoCein,ShahZaM,{}
RobertoCein,WARDELL,{}
RobertoCein,iiTzTimmy,{}
RobertoCein,Domingo,{}
RobertoCein,Mushway,{}
RobertoCein,natalan,{}
RobertoCein,Clix,{}
RobertoCein,IamCristinini,{}
sn400ja,BrookeAB,{}
sn400ja,dltjdwls5507,{}
sn400ja,Trainwreckstv,{}
sn400ja,darumaisgod,{}
sn400ja,ta1yo_tv,{}
sn400ja,Sapnap,{}
sn400ja,Clix,{}
sn400ja,JustaMinx,{}
sn400ja,SolaryFortnite,{}
sn400ja,rhffkddl96,{}
hm716,yamatonjp,{}
hm716,pikra10,{}
hm716,Sykkuno,{}
hm716,riotgamesru,{}
hm716,toto02033,{}
hm716,yvonnie,{}
hm716,loud_bradoock,{}
hm716,ranboobutnot,{}
hm716,ljh0328,{}
hm716,guilty1223,{}
hm716,xkwhd,{}
hm716,kumikomii,{}
mmange2,Swagg,{}
mmange2,MoMaN,{}
mmange2,Carreraaa,{}
slemf4062,karlnetwork,{}
slemf4062,Bugha,{}
slemf4062,Fresh,{}
slemf4062,thdwodnr97,{}
slemf4062,peterparkTV,{}
slemf4062,uzuhama,{}
slemf4062,PipePunk,{}
slemf4062,biyin_,{}
slemf4062,Ponce,{}
slemf4062,sneakylol,{}
slemf4062,iitztimmy,{}
slemf4062,nl_Kripp,{}
slemf4062,QTCinderella,{}
slemf4062,obly99,{}
slemf4062,Ninja,{}
slemf4062,wkgml,{}
slemf4062,steel_tv,{}
dltjdwls5507,albralelie,{}
dltjdwls5507,BarcaGamer,{}
dltjdwls5507,CaptainPuffy,{}
dltjdwls5507,EsfandTV,{}
dltjdwls5507,detonator_robin,{}
dltjdwls5507,SypherPK,{}
dltjdwls5507,MissaSinfonia,{}
dltjdwls5507,WARDELL,{}
dltjdwls5507,NimuVT,{}
dltjdwls5507,CrankGameplays,{}
dltjdwls5507,natalan,{}
dltjdwls5507,obly99,{}
dltjdwls5507,valorant_jpn,{}
dltjdwls5507,pijack11,{}
dltjdwls5507,HBomb94,{}
dltjdwls5507,deercheerup,{}
dltjdwls5507,Rubius,{}
dltjdwls5507,snip3down,{}
dltjdwls5507,guilty1223,{}
dltjdwls5507,calango,{}
dltjdwls5507,GeorgeNotFound,{}
taxi2g,Maghla,{}
taxi2g,Sardoche,{}
taxi2g,JeanPormanove,{}
taxi2g,kanae_2434,{}
taxi2g,tempplex_,{}
taxi2g,Trainwreckstv,{}
taxi2g,QuackityToo,{}
taxi2g,SypherPK,{}
taxi2g,loud_bradoock,{}
taxi2g,BoomerNA,{}
flowergam0326,lestream,{}
flowergam0326,BrookeAB,{}
flowergam0326,Sykkuno,{}
flowergam0326,Natsumiii,{}
flowergam0326,karchez,{}
flowergam0326,CBLOL,{}
flowergam0326,Alliege,{}
flowergam0326,yukiofps14,{}
flowergam0326,mmafu_,{}
flowergam0326,riotgamesjp,{}
flowergam0326,Etoiles,{}
flowergam0326,Perxitaa,{}
flowergam0326,Antfrost,{}
flowergam0326,komanche,{}
flowergam0326,109ace,{}
flowergam0326,BadBoyHalo,{}
flowergam0326,torona1,{}
flowergam0326,shibuyahal,{}
flowergam0326,k4sen,{}
handongsuk,gjtn9664,{}
handongsuk,portialyn,{}
handongsuk,TPAIN,{}
handongsuk,Staryuuki,{}
handongsuk,boxbox,{}
handongsuk,stormen,{}
handongsuk,mrstiventc,{}
handongsuk,loud_mob,{}
handongsuk,kimgapju,{}
handongsuk,WARDELL,{}
handongsuk,loud_babi,{}
handongsuk,lubatv,{}
handongsuk,alfrea,{}
handongsuk,DropsByPonk,{}
handongsuk,makiymagi,{}
handongsuk,VALORANT,{}
handongsuk,BruceGrannec,{}
handongsuk,tempplex_,{}
handongsuk,loud_voltan,{}
handongsuk,ailee_official,{}
handongsuk,yourragegaming,{}
handongsuk,NiceWigg,{}
handongsuk,iitztimmy,{}
handongsuk,nnabi,{}
handongsuk,Locklear,{}
handongsuk,loud_thaiga,{}
handongsuk,mmange2,{}
handongsuk,ops1x,{}
handongsuk,dreamingyume,{}
handongsuk,sooflower,{}
gjtn9664,tarik,{}
gjtn9664,komanche,{}
gjtn9664,dropped,{}
gjtn9664,Sapnap,{}
gjtn9664,Domingo,{}
gjtn9664,JeelTV,{}
portialyn,FaZeSway,{}
portialyn,riotgamesjp,{}
portialyn,maoruya,{}
portialyn,summit1g,{}
portialyn,clutch_fii,{}
portialyn,biyin_,{}
portialyn,Sardoche,{}
portialyn,nlmiso95,{}
portialyn,liminhag0d,{}
portialyn,ESL_CSGO,{}
portialyn,im_slpx,{}
portialyn,shivfps,{}
portialyn,dmf_kyochan,{}
portialyn,lazvell,{}
portialyn,krbobae,{}
portialyn,taxi2g,{}
portialyn,PlayHard,{}
portialyn,Ponce,{}
portialyn,yeTz,{}
portialyn,gafallen,{}
Staryuuki,NOBRU,{}
Staryuuki,Scarra,{}
Staryuuki,cyr,{}
Staryuuki,dreamwastaken,{}
Staryuuki,Carola,{}
Staryuuki,yeTz,{}
Staryuuki,moistcr1tikal,{}
Staryuuki,loud_coringa,{}
Staryuuki,xQcOW,{}
DropsByPonk,Smajor,{}
DropsByPonk,LeBouseuh,{}
DropsByPonk,JLAmaru,{}
DropsByPonk,Kamet0,{}
DropsByPonk,mistermv,{}
DropsByPonk,Corpse_Husband,{}
DropsByPonk,HBomb94,{}
DropsByPonk,karlnetwork,{}
DropsByPonk,ZeratoR,{}
DropsByPonk,AlphaCast,{}
DropsByPonk,TinaKitten,{}
DropsByPonk,Purpled,{}
DropsByPonk,Ponce,{}
DropsByPonk,Slimecicle,{}
VALORANT,skeppy,{}
VALORANT,Kyedae,{}
VALORANT,Squeezie,{}
VALORANT,Fundy,{}
VALORANT,WARDELL,{}
VALORANT,RebeuDeter,{}
VALORANT,Etoiles,{}
VALORANT,yvonnie,{}
VALORANT,AussieAntics,{}
VALORANT,lilypichu,{}
ailee_official,Snip3down,{}
ailee_official,nokduro,{}
ailee_official,sinatraa,{}
iitztimmy,fnxLNTC,{}
iitztimmy,AriaSaki,{}
iitztimmy,bakzera,{}
iitztimmy,snip3down,{}
iitztimmy,Natsumiii,{}
iitztimmy,WilburSoot,{}
iitztimmy,tommyinnitalt,{}
iitztimmy,Ponce,{}
iitztimmy,Sardoche,{}
iitztimmy,michaelreeves,{}
iitztimmy,omgvodka,{}
iitztimmy,Foolish_Gamers,{}
iitztimmy,ta1yo_tv,{}
iitztimmy,Clix,{}
iitztimmy,Emiru,{}
iitztimmy,NimuVT,{}
iitztimmy,xQcOW,{}
iitztimmy,lazvell,{}
iitztimmy,karljacobs,{}
lck_korea,lestream,{}
lck_korea,alelu,{}
lck_korea,sktt1fan_,{}
lck_korea,BarcaGamer,{}
lck_korea,ooenotakayuki,{}
lck_korea,Tubbo,{}
lck_korea,kumikomii,{}
lck_korea,effort,{}
lck_korea,BENIJU03,{}
lck_korea,nicewigg,{}
lck_korea,karasmai,{}
lck_korea,jschlatt,{}
lck_korea,Aydan,{}
lck_korea,MrSavage,{}
lck_korea,projektmelody,{}
lck_korea,jinjalim,{}
lck_korea,genburten,{}
lck_korea,noelmiller,{}
lck_korea,gjtn9664,{}
lck_korea,vo_ine,{}
lck_korea,ZeratoR,{}
lck_korea,ronaronakr,{}
lck_korea,ajehr,{}
lck_korea,osamintinus3sei,{}
lck_korea,daltoosh,{}
lck_korea,pgod,{}
lck_korea,9ambler,{}
lck_korea,Kaceytron,{}
lck_korea,j1nu6734,{}
lck_korea,brtt,{}
lck_korea,k4sen,{}
lck_korea,jungryeok,{}
lck_korea,FlowPodcast,{}
lck_korea,fps_shaka,{}
lck_korea,AdinRoss,{}
lck_korea,playapex,{}
lck_korea,Staryuuki,{}
lck_korea,Loserfruit,{}
lck_korea,karlnetwork,{}
lck_korea,Alinity,{}
lck_korea,holonsc2,{}
lck_korea,LakshartNia,{}
lck_korea,Hiko,{}
lck_korea,ElMariana,{}
lck_korea,melina,{}
lck_korea,D3stri,{}
lck_korea,necklet880707,{}
lck_korea,LanuSky,{}
lck_korea,dopa24,{}
lck_korea,SkyrrozTV,{}
lck_korea,BruceGrannec,{}
lck_korea,riotgameslatam,{}
lck_korea,aduck09,{}
lck_korea,midong1030,{}
lck_korea,lcs,{}
lck_korea,mount,{}
lck_korea,collet11,{}
lck_korea,109ace,{}
lck_korea,lubatv,{}
lck_korea,ironmouse,{}
lck_korea,kimdoe,{}
lck_korea,JLBichouu,{}
lck_korea,Laink,{}
lck_korea,aram4519,{}
lck_korea,otplol_,{}
lck_korea,seoldam99,{}
lck_korea,albralelie,{}
lck_korea,shomaru7,{}
lck_korea,ranboolive,{}
lck_korea,chodan_,{}
lck_korea,WilburSoot,{}
lck_korea,yeTz,{}
lck_korea,scarlet6942,{}
lck_korea,rkdthdus930,{}
lck_korea,LVNDMARK,{}
lck_korea,beyou0728,{}
lck_korea,nagisatty,{}
lck_korea,mizkif,{}
lck_korea,saken_lol,{}
lck_korea,cherrypach,{}
lck_korea,rogue,{}
lck_korea,oniyadayo,{}
lck_korea,sal_gu,{}
lck_korea,biyin_,{}
lck_korea,pimpimenta,{}
lck_korea,lululuvely,{}
lck_korea,asunaweeb,{}
lck_korea,thebausffs,{}
lck_korea,Ash_on_LoL,{}
lck_korea,rockggun,{}
lck_korea,jcw970,{}
lck_korea,ziGueira,{}
lck_korea,traytonlol,{}
lck_korea,Purpled,{}
lck_korea,mother3rd,{}
lck_korea,botezlive,{}
lck_korea,ShivFPS,{}
lck_korea,omgvodka,{}
lck_korea,drututt,{}
lck_korea,boxbox,{}
lck_korea,JackManifoldTV,{}
lck_korea,Reetlol,{}
lck_korea,Pewdiepie,{}
alelu,Laink,{}
alelu,BarcaGamer,{}
alelu,Rakin,{}
alelu,nokokopuffs,{}
alelu,rua_jp,{}
alelu,RanbooLive,{}
alelu,Meikodboy_,{}
alelu,pijack11,{}
alelu,Ninja,{}
alelu,summit1g,{}
alelu,daiantsuda514,{}
alelu,yamatonjp,{}
alelu,Mushway,{}
alelu,AriaSaki,{}
alelu,cidcidoso,{}
alelu,dreamwastaken,{}
alelu,PGL,{}
alelu,detonator_robin,{}
alelu,Anas_Off,{}
alelu,Alliege,{}
alelu,Punz,{}
alelu,ras_sama,{}
alelu,CDawgVA,{}
alelu,G0ularte,{}
alelu,NimuVT,{}
BarcaGamer,yeTz,{}
BarcaGamer,Tfue,{}
ooenotakayuki,dreamwastaken,{}
ooenotakayuki,AustinShow,{}
ooenotakayuki,junior27015,{}
ooenotakayuki,obly99,{}
Tubbo,cyr,{}
Tubbo,HBomb94,{}
Tubbo,Nihachu,{}
Tubbo,jschlatt,{}
Tubbo,hannahxxrose,{}
Tubbo,Maghla,{}
Tubbo,Jirayalecochon,{}
Tubbo,Locklear,{}
Tubbo,WilburSoot,{}
Tubbo,DropsByPonk,{}
Tubbo,JustaMinx,{}
Tubbo,Eret,{}
Tubbo,TheKAIRI78,{}
Tubbo,awesamdude,{}
Tubbo,TinaKitten,{}
Tubbo,Purpled,{}
Tubbo,Terracid,{}
Tubbo,aimsey,{}
Tubbo,HasanAbi,{}
Tubbo,AussieAntics,{}
Tubbo,CaptainSparklez,{}
Tubbo,Slimecicle,{}
Tubbo,JeelTV,{}
kumikomii,ljh0328,{}
kumikomii,QTCinderella,{}
kumikomii,Masayoshi,{}
kumikomii,wahahaha830,{}
kumikomii,Terracid,{}
kumikomii,Asmongold,{}
kumikomii,zackrawrr,{}
kumikomii,rlgus1006,{}
kumikomii,k4sen,{}
kumikomii,su_ning,{}
kumikomii,aimsey,{}
kumikomii,karasmai,{}
kumikomii,e_saem,{}
kumikomii,xXxTheFocuSxXx,{}
kumikomii,CBLOL,{}
kumikomii,PlayHard,{}
kumikomii,DavyJones,{}
kumikomii,esstree,{}
kumikomii,LakshartNia,{}
kumikomii,IamCristinini,{}
kumikomii,ooenotakayuki,{}
kumikomii,loud_voltan,{}
kumikomii,fer,{}
kumikomii,juansguarnizo,{}
kumikomii,akakzldzhd,{}
kumikomii,G0ularte,{}
effort,Anas_Off,{}
effort,Carreraaa,{}
effort,hair_yeonhwa,{}
effort,natalan,{}
effort,Meikodboy_,{}
effort,Terracid,{}
effort,awesamdude,{}
effort,mmafu_,{}
effort,dunkstream,{}
effort,albralelie,{}
effort,TheKAIRI78,{}
effort,wahahaha830,{}
effort,Subroza,{}
nicewigg,AsunaWEEB,{}
nicewigg,TubboLIVE,{}
nicewigg,Rakin,{}
genburten,ras_sama,{}
genburten,AriaSaki,{}
genburten,Scarra,{}
genburten,MoMaN,{}
genburten,WARDELL,{}
genburten,elded,{}
genburten,Shiphtur,{}
genburten,cyr,{}
genburten,XEWER,{}
genburten,tommyinnitalt,{}
genburten,guilty1223,{}
genburten,ibai,{}
genburten,DanTDM,{}
genburten,nniru,{}
genburten,IamCristinini,{}
genburten,AverageJonas,{}
genburten,EsfandTV,{}
genburten,PRINCE__OFF,{}
genburten,WilburSoot,{}
